epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.0881,2.76558,19.4053,1.08413,0,0,0,0,2.19166,13.8138,0.94615,0.000125,0.000125,0.000125
2,86.089,2.43352,13.1267,0.96808,0,0,0,0,2.04314,11.7083,0.95461,0.000257303,0.000257303,0.000257303
3,125.316,3.01566,14.6506,0.96864,0,0,0,0,2.89218,16.0984,1.0032,0.00038416,0.00038416,0.00038416
4,161.479,2.80282,10.7139,0.93984,0,0,0,0,2.21309,12.9189,0.90988,0.000505572,0.000505572,0.000505572
5,198.797,2.63168,8.30689,0.93719,0.00014,0.025,0.00016,7e-05,1.94346,11.0351,0.90086,0.00062154,0.00062154,0.00062154
6,234.904,2.54801,12.4005,0.91991,0.00025,0.05,0.00043,0.0002,2.49175,14.3906,1.02137,0.000732063,0.000732063,0.000732063
7,270.947,2.37627,7.00983,0.92604,0.00046,0.125,0.00114,0.00043,2.16269,10.9676,0.98091,0.00083714,0.00083714,0.00083714
8,307.757,2.36092,6.87538,0.92438,0.00051,0.0875,0.00927,0.00357,2.28684,10.4563,0.99497,0.000936772,0.000936772,0.000936772
9,344.802,2.24869,6.78013,0.90365,0.00058,0.1125,0.04081,0.01808,2.34304,10.5596,1.01544,0.00103096,0.00103096,0.00103096
10,381.954,2.34749,7.42332,0.91853,0.52327,0.0125,0.02856,0.00796,2.35647,9.1385,0.99159,0.00102725,0.00102725,0.00102725
11,418.699,2.35272,6.35275,0.8682,0.76617,0.0672,0.11712,0.04377,2.19386,7.54969,0.95946,0.0010025,0.0010025,0.0010025
12,455.172,2.43286,5.55495,0.93396,0.91012,0.09658,0.14278,0.04666,2.33828,7.43834,0.97338,0.00097775,0.00097775,0.00097775
13,492.053,2.151,4.96921,0.90408,0.99592,0.025,0.0713,0.02723,2.3136,8.28157,0.98563,0.000953,0.000953,0.000953
14,529.081,2.37483,5.64915,0.90346,0.54648,0.12083,0.15761,0.05183,2.11367,6.89619,0.93525,0.00092825,0.00092825,0.00092825
15,565.405,2.27347,5.53588,0.91277,0.61144,0.15,0.19606,0.07076,2.10067,5.83568,0.92767,0.0009035,0.0009035,0.0009035
16,601.851,2.22881,5.04678,0.88823,0.6075,0.1625,0.19246,0.07803,2.07469,5.54191,0.95226,0.00087875,0.00087875,0.00087875
17,637.84,2.17864,4.66874,0.87326,0.30991,0.14583,0.15511,0.06963,2.03185,5.52306,0.96115,0.000854,0.000854,0.000854
18,674.439,2.22003,5.22361,0.86274,0.53276,0.1875,0.17418,0.07416,1.97712,5.57145,0.9344,0.00082925,0.00082925,0.00082925
19,710.638,2.32097,4.63802,0.88923,0.56963,0.17083,0.18567,0.08946,1.89808,5.03079,0.9356,0.0008045,0.0008045,0.0008045
20,746.558,2.32685,5.04789,0.85741,0.4792,0.1636,0.1693,0.09838,1.82658,4.7567,0.9284,0.00077975,0.00077975,0.00077975
21,782.917,2.12412,4.35155,0.86207,0.89139,0.17083,0.18051,0.09876,1.87452,4.56317,0.92744,0.000755,0.000755,0.000755
22,819.205,2.02455,4.04623,0.8618,0.88407,0.20648,0.19896,0.10997,1.76168,4.32206,0.91519,0.00073025,0.00073025,0.00073025
23,856.097,2.2276,4.65641,0.88709,0.92357,0.17454,0.21445,0.10576,1.80103,4.55966,0.90136,0.0007055,0.0007055,0.0007055
24,892.794,2.08958,4.17241,0.87313,0.84276,0.19648,0.20554,0.10381,1.66682,4.02927,0.88744,0.00068075,0.00068075,0.00068075
25,929.747,2.07949,3.76064,0.86387,0.7809,0.175,0.18733,0.07887,1.69753,4.39282,0.91087,0.000656,0.000656,0.000656
26,966.599,2.29349,3.96733,0.86964,0.78883,0.19502,0.20267,0.09402,1.86445,4.23499,0.92903,0.00063125,0.00063125,0.00063125
27,1003.99,2.10392,4.18139,0.85293,0.75663,0.20511,0.19722,0.10238,1.85167,3.92357,0.91888,0.0006065,0.0006065,0.0006065
28,1041.47,1.97351,3.21684,0.85042,0.84451,0.19452,0.19818,0.10452,1.78459,3.79841,0.90866,0.00058175,0.00058175,0.00058175
29,1078.12,1.88709,3.18727,0.88344,0.83535,0.2,0.21373,0.10219,1.79158,3.78164,0.90998,0.000557,0.000557,0.000557
30,1115.19,2.0182,3.17544,0.86327,0.54766,0.1875,0.20437,0.09971,1.78018,3.72404,0.89079,0.00053225,0.00053225,0.00053225
31,1151.7,2.04364,3.36572,0.84833,0.45948,0.21111,0.1889,0.09466,1.79586,3.7139,0.89636,0.0005075,0.0005075,0.0005075
32,1190.01,1.82076,2.59005,0.84528,0.45569,0.22083,0.19824,0.1075,1.7371,3.41603,0.89246,0.00048275,0.00048275,0.00048275
33,1227.11,1.98412,3.31252,0.83054,0.74637,0.22083,0.20045,0.10439,1.76654,3.27462,0.89896,0.000458,0.000458,0.000458
34,1263.67,1.88727,3.8092,0.85401,0.75833,0.20833,0.21278,0.1108,1.69129,3.22488,0.88636,0.00043325,0.00043325,0.00043325
35,1300.12,1.92838,2.93996,0.84357,0.82619,0.2,0.20348,0.09897,1.68562,3.2969,0.87091,0.0004085,0.0004085,0.0004085
36,1336.3,1.80028,2.88414,0.84588,0.89221,0.2,0.20879,0.09299,1.82265,3.3818,0.88285,0.00038375,0.00038375,0.00038375
37,1372.66,1.90191,3.06771,0.83704,0.90487,0.1875,0.20348,0.09452,1.74809,3.27311,0.87385,0.000359,0.000359,0.000359
38,1433.21,1.86714,2.70133,0.84115,0.8844,0.1875,0.20928,0.10649,1.71851,2.99576,0.86582,0.00033425,0.00033425,0.00033425
39,1498.13,1.75316,2.53726,0.86775,0.56479,0.21391,0.2234,0.10929,1.75438,2.93901,0.87101,0.0003095,0.0003095,0.0003095
40,1532.36,1.75841,2.48398,0.83297,0.96913,0.19927,0.22797,0.11482,1.71062,2.94157,0.87429,0.00028475,0.00028475,0.00028475
41,1567.72,1.80182,3.69721,0.85387,0.63041,0.23482,0.23746,0.12487,1.64445,2.80526,0.87277,0.00026,0.00026,0.00026
42,1603.36,1.70781,3.035,0.83182,0.58915,0.2125,0.22947,0.12745,1.59422,2.71103,0.87081,0.00023525,0.00023525,0.00023525
43,1651.26,1.61441,3.08923,0.86922,0.57319,0.225,0.21481,0.11571,1.58493,2.74914,0.87091,0.0002105,0.0002105,0.0002105
44,1686.12,1.60758,3.18286,0.85381,0.8415,0.22115,0.22016,0.11279,1.60209,2.7915,0.87399,0.00018575,0.00018575,0.00018575
45,1721.13,1.5885,2.85867,0.83602,0.85165,0.2375,0.2222,0.11565,1.63164,2.78533,0.87608,0.000161,0.000161,0.000161
46,1756.1,1.81966,4.57979,0.84076,0.85641,0.2375,0.22392,0.11603,1.66189,2.74445,0.87785,0.00013625,0.00013625,0.00013625
47,1791.11,1.72464,3.52665,0.84975,0.60043,0.2375,0.23,0.12134,1.63211,2.66749,0.87439,0.0001115,0.0001115,0.0001115
48,1826.25,1.68085,3.13206,0.81874,0.62574,0.2125,0.23659,0.12178,1.62565,2.63831,0.8715,8.675e-05,8.675e-05,8.675e-05
49,1862.23,1.72056,3.16935,0.81897,0.63698,0.21234,0.23828,0.12032,1.6284,2.66144,0.8711,6.2e-05,6.2e-05,6.2e-05
50,1898.35,1.6403,2.80584,0.82964,0.63655,0.21337,0.23866,0.12423,1.62321,2.66528,0.86907,3.725e-05,3.725e-05,3.725e-05
